data;hora;temperatura interna;temperatura externa;temperatura relativa;sinal de controle
1/9/2021;17:18:53;31.125000;27.040001;76.000000;100
1/9/2021;17:18:55;31.937500;27.049999;76.000000;100
1/9/2021;17:18:57;31.937500;27.049999;76.000000;100
1/9/2021;17:18:59;32.375000;27.059999;76.000000;100
1/9/2021;17:19:1;32.375000;27.059999;76.000000;100
1/9/2021;17:19:3;33.437500;27.070000;76.000000;100
1/9/2021;17:19:5;33.437500;27.070000;76.000000;100
1/9/2021;17:19:7;34.062500;27.080000;76.000000;100
1/9/2021;17:19:9;34.062500;27.080000;76.000000;100
1/9/2021;17:19:11;35.312500;27.080000;76.000000;100
1/9/2021;17:19:13;35.312500;27.080000;76.000000;100
1/9/2021;17:19:15;35.312500;27.100000;76.000000;100
1/9/2021;17:19:17;36.687500;27.100000;76.000000;100
1/9/2021;17:19:19;36.687500;27.110001;76.000000;100
1/9/2021;17:19:21;37.375000;27.110001;76.000000;100
1/9/2021;17:19:23;37.375000;27.129999;76.000000;100
1/9/2021;17:19:25;38.937500;27.129999;76.000000;100
1/9/2021;17:19:27;38.937500;27.139999;76.000000;100
1/9/2021;17:19:29;40.500000;27.139999;76.000000;100
1/9/2021;17:19:31;40.500000;27.139999;76.000000;100
1/9/2021;17:19:33;41.312500;27.139999;76.000000;100
1/9/2021;17:19:35;41.312500;27.150000;76.000000;100
1/9/2021;17:19:37;43.000000;27.150000;76.000000;100
1/9/2021;17:19:39;43.000000;27.150000;76.000000;100
1/9/2021;17:19:41;44.812500;27.170000;76.000000;100
1/9/2021;17:19:43;44.812500;27.170000;76.000000;100
1/9/2021;17:19:45;45.625000;27.170000;76.000000;100
1/9/2021;17:19:47;45.625000;27.170000;76.000000;100
1/9/2021;17:19:49;47.437500;27.180000;76.000000;100
1/9/2021;17:19:51;47.437500;27.180000;76.000000;100
1/9/2021;17:19:53;48.375000;27.180000;76.000000;100
1/9/2021;17:19:55;48.375000;27.180000;76.000000;100
1/9/2021;17:19:57;50.250000;27.190001;76.000000;100
1/9/2021;17:19:59;50.250000;27.190001;76.000000;100
1/9/2021;17:20:1;52.125000;27.200001;76.000000;100
1/9/2021;17:20:3;52.125000;27.200001;76.000000;100
1/9/2021;17:20:5;52.125000;27.209999;76.000000;100
1/9/2021;17:20:7;53.062500;27.209999;76.000000;100
1/9/2021;17:20:9;53.062500;27.250000;76.000000;100
1/9/2021;17:20:11;54.937500;27.250000;76.000000;100
1/9/2021;17:20:13;54.937500;27.250000;76.000000;100
1/9/2021;17:20:15;56.812500;27.250000;76.000000;100
1/9/2021;17:20:17;56.812500;27.260000;76.000000;100
1/9/2021;17:20:19;57.750000;27.260000;76.000000;100
1/9/2021;17:20:21;57.750000;27.270000;76.000000;100
1/9/2021;17:20:23;59.687500;27.270000;76.000000;100
1/9/2021;17:20:25;59.687500;27.290001;76.000000;100
1/9/2021;17:20:27;61.625000;27.290001;76.000000;100
1/9/2021;17:20:29;61.625000;27.290001;76.000000;100
1/9/2021;17:20:31;62.562500;27.290001;76.000000;100
1/9/2021;17:20:33;62.562500;27.290001;76.000000;100
1/9/2021;17:20:35;64.437500;27.309999;76.000000;100
1/9/2021;17:20:37;64.437500;27.309999;76.000000;100
1/9/2021;17:20:39;65.437500;27.309999;76.000000;100
1/9/2021;17:20:41;65.437500;27.309999;76.000000;100
1/9/2021;17:20:43;67.312500;27.330000;76.000000;100
1/9/2021;17:20:45;67.312500;27.330000;76.000000;100
1/9/2021;17:20:47;69.187500;27.330000;76.000000;100
1/9/2021;17:20:49;69.187500;27.330000;76.000000;100
1/9/2021;17:20:51;69.187500;27.340000;76.000000;100
1/9/2021;17:20:53;70.125000;27.340000;76.000000;100
1/9/2021;17:20:55;70.125000;27.360001;76.000000;100
1/9/2021;17:20:57;72.000000;27.360001;76.000000;100
1/9/2021;17:20:59;72.000000;27.360001;76.000000;100
1/9/2021;17:21:1;73.812500;27.360001;76.000000;100
1/9/2021;17:21:3;73.812500;27.370001;76.000000;100
1/9/2021;17:21:5;74.750000;27.370001;76.000000;100
1/9/2021;17:21:7;74.750000;27.370001;76.000000;100
1/9/2021;17:21:9;76.562500;27.370001;76.000000;100
1/9/2021;17:21:11;76.562500;27.379999;76.000000;100
1/9/2021;17:21:13;77.437500;27.379999;76.000000;100
1/9/2021;17:21:15;77.437500;27.379999;76.000000;-100
1/9/2021;17:21:17;79.250000;27.389999;76.000000;-100
1/9/2021;17:21:19;79.250000;27.389999;76.000000;-100
1/9/2021;17:21:21;80.250000;27.469999;76.000000;-100
1/9/2021;17:21:23;80.250000;27.469999;76.000000;-100
1/9/2021;17:21:25;80.437500;27.590000;76.000000;-100
1/9/2021;17:21:27;80.437500;27.590000;76.000000;-100
1/9/2021;17:21:29;80.437500;27.700001;76.000000;-100
1/9/2021;17:21:31;80.437500;27.700001;76.000000;-100
1/9/2021;17:21:33;80.125000;27.780001;76.000000;-100
1/9/2021;17:21:35;80.125000;27.780001;76.000000;-100
1/9/2021;17:21:37;79.937500;27.850000;76.000000;-100
1/9/2021;17:21:39;79.937500;27.850000;76.000000;-100
1/9/2021;17:21:41;79.937500;27.900000;76.000000;-100
1/9/2021;17:21:43;79.375000;27.900000;76.000000;-100
1/9/2021;17:21:45;79.375000;27.959999;76.000000;-100
1/9/2021;17:21:47;79.062500;27.959999;76.000000;-100
1/9/2021;17:21:49;79.062500;28.010000;76.000000;-100
1/9/2021;17:21:51;78.375000;28.010000;76.000000;-100
1/9/2021;17:21:53;78.375000;28.040001;76.000000;-100
